id,excuse_id,file_url,uploaded_at
1,1,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-15 00:00:00
2,2,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-16 00:00:00
3,3,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-17 00:00:00
4,4,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-18 00:00:00
5,5,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-19 00:00:00
6,6,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-20 00:00:00
7,7,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-21 00:00:00
8,8,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-22 00:00:00
9,9,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-23 00:00:00
10,10,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-24 00:00:00
11,11,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-25 00:00:00
12,12,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-26 00:00:00
13,13,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-27 00:00:00
14,14,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-28 00:00:00
15,15,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-29 00:00:00
16,16,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-30 00:00:00
17,17,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-15 00:00:00
18,18,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-16 00:00:00
19,19,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-17 00:00:00
20,20,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-18 00:00:00
21,21,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-19 00:00:00
22,22,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-20 00:00:00
23,23,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-21 00:00:00
24,24,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-22 00:00:00
25,25,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-23 00:00:00
26,26,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-24 00:00:00
27,27,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-25 00:00:00
28,28,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-26 00:00:00
29,29,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-27 00:00:00
30,30,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-28 00:00:00
31,31,https://imgv2-1-f.scribdassets.com/img/document/700870292/original/a4a482eebc/1?v=1,2025-05-29 00:00:00
32,32,https://imgv2-1-f.scribdassets.com/img/document/700870292/original/a4a482eebc/1?v=1,2025-05-30 00:00:00
33,33,https://imgv2-1-f.scribdassets.com/img/document/700870292/original/a4a482eebc/1?v=1,2025-05-15 00:00:00
34,34,https://imgv2-1-f.scribdassets.com/img/document/700870292/original/a4a482eebc/1?v=1,2025-05-16 00:00:00
35,35,https://imgv2-1-f.scribdassets.com/img/document/700870292/original/a4a482eebc/1?v=1,2025-05-17 00:00:00
36,36,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-18 00:00:00
37,37,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-19 00:00:00
38,38,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-20 00:00:00
39,39,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-21 00:00:00
40,40,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-22 00:00:00
41,41,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-23 00:00:00
42,42,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-24 00:00:00
43,43,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-25 00:00:00
44,44,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-26 00:00:00
45,45,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-27 00:00:00
46,46,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-28 00:00:00
47,47,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-29 00:00:00
48,48,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-30 00:00:00
49,49,https://imgv2-1-f.scribdassets.com/img/document/427550161/original/ac0b8e39cd/1?v=1,2025-05-15 00:00:00
50,50,https://makkahnewspaper.com/uploads/imported_images/2015/11/18/269441.JPG,2025-05-16 00:00:00
51,51,https://makkahnewspaper.com/uploads/imported_images/2015/11/18/269441.JPG,2025-05-17 00:00:00
