parent_id,student_id,relationship_en,relationship_ar
1,1,Father,أب
1,2,Father,أب
1,3,Father,أب
1,4,Father,أب
1,5,Father,أب
1,6,Father,أب
1,7,Father,أب
2,8,Father,أب
2,9,Father,أب
2,10,Father,أب
2,11,Father,أب
2,12,Father,أب
2,13,Father,أب
2,14,Father,أب
3,15,Father,أب
3,16,Father,أب
3,17,Father,أب
3,18,Father,أب
3,19,Father,أب
3,20,Father,أب
3,21,Father,أب
4,22,Father,أب
4,23,Father,أب
4,24,Father,أب
4,25,Father,أب
4,26,Father,أب
4,27,Father,أب
4,28,Father,أب
5,29,Father,أب
5,30,Father,أب
5,31,Father,أب
5,32,Father,أب
5,33,Father,أب
5,34,Father,أب
5,35,Father,أب
6,36,Father,أب
6,37,Father,أب
6,38,Father,أب
6,39,Father,أب
6,40,Father,أب
6,41,Father,أب
6,42,Father,أب
7,43,Father,أب
7,44,Father,أب
7,45,Father,أب
7,46,Father,أب
7,47,Father,أب
7,48,Father,أب
7,49,Father,أب
8,50,Father,أب
8,51,Father,أب
8,52,Father,أب
8,53,Father,أب
8,54,Father,أب
8,55,Father,أب
8,56,Father,أب
9,57,Father,أب
9,58,Father,أب
9,59,Father,أب
9,60,Father,أب
9,61,Father,أب
9,62,Father,أب
9,63,Father,أب
10,64,Father,أب
10,65,Father,أب
10,66,Father,أب
10,67,Father,أب
10,68,Father,أب
10,69,Father,أب
10,70,Father,أب
11,71,Father,أب
11,72,Father,أب
11,73,Father,أب
11,74,Father,أب
11,75,Father,أب
11,76,Father,أب
11,77,Father,أب
12,78,Father,أب
12,79,Father,أب
12,80,Father,أب
12,81,Father,أب
12,82,Father,أب
12,83,Father,أب
12,84,Father,أب
13,85,Father,أب
13,86,Father,أب
13,87,Father,أب
13,88,Father,أب
13,89,Father,أب
13,90,Father,أب
13,91,Father,أب
14,92,Father,أب
14,93,Father,أب
14,94,Father,أب
14,95,Father,أب
14,96,Father,أب
14,97,Father,أب
14,98,Father,أب
15,99,Father,أب
15,100,Father,أب
15,101,Father,أب
15,102,Father,أب
15,103,Father,أب
15,104,Father,أب
15,105,Father,أب
16,106,Father,أب
16,107,Father,أب
16,108,Father,أب
16,109,Father,أب
16,110,Father,أب
16,111,Father,أب
16,112,Father,أب
17,113,Father,أب
17,114,Father,أب
17,115,Father,أب
17,116,Father,أب
17,117,Father,أب
17,118,Father,أب
17,119,Father,أب
18,120,Father,أب
18,121,Father,أب
18,122,Father,أب
18,123,Father,أب
18,124,Father,أب
18,125,Father,أب
18,126,Father,أب
19,127,Father,أب
19,128,Father,أب
19,129,Father,أب
19,130,Father,أب
19,131,Father,أب
19,132,Father,أب
19,133,Father,أب
20,134,Father,أب
20,135,Father,أب
20,136,Father,أب
20,137,Father,أب
20,138,Father,أب
20,139,Father,أب
20,140,Father,أب
21,141,Father,أب
21,142,Father,أب
21,143,Father,أب
21,144,Father,أب
21,145,Father,أب
21,146,Father,أب
21,147,Father,أب
22,148,Father,أب
22,149,Father,أب
22,150,Father,أب
22,151,Father,أب
22,152,Father,أب
22,153,Father,أب
22,154,Father,أب
23,155,Father,أب
23,156,Father,أب
23,157,Father,أب
23,158,Father,أب
23,159,Father,أب
23,160,Father,أب
23,161,Father,أب
24,162,Father,أب
24,163,Father,أب
24,164,Father,أب
24,165,Father,أب
24,166,Father,أب
24,167,Father,أب
24,168,Father,أب
25,169,Father,أب
25,170,Father,أب
25,171,Father,أب
25,172,Father,أب
25,173,Father,أب
25,174,Father,أب
25,175,Father,أب
26,176,Father,أب
26,177,Father,أب
26,178,Father,أب
26,179,Father,أب
26,180,Father,أب
27,181,Father,أب
27,182,Father,أب
27,183,Father,أب
27,184,Father,أب
27,185,Father,أب
28,186,Father,أب
28,187,Father,أب
28,188,Father,أب
28,189,Father,أب
28,190,Father,أب
29,191,Father,أب
29,192,Father,أب
29,193,Father,أب
29,194,Father,أب
29,195,Father,أب
30,196,Father,أب
30,197,Father,أب
30,198,Father,أب
30,199,Father,أب
30,200,Father,أب
31,201,Father,أب
31,202,Father,أب
31,203,Father,أب
31,204,Father,أب
31,205,Father,أب
32,206,Father,أب
32,207,Father,أب
32,208,Father,أب
32,209,Father,أب
32,210,Father,أب
33,211,Father,أب
33,212,Father,أب
33,213,Father,أب
33,214,Father,أب
33,215,Father,أب
34,216,Father,أب
34,217,Father,أب
34,218,Father,أب
34,219,Father,أب
34,220,Father,أب
35,221,Father,أب
35,222,Father,أب
35,223,Father,أب
35,224,Father,أب
35,225,Father,أب
36,226,Father,أب
36,227,Father,أب
36,228,Father,أب
36,229,Father,أب
36,230,Father,أب
37,231,Father,أب
37,232,Father,أب
37,233,Father,أب
37,234,Father,أب
37,235,Father,أب
38,236,Father,أب
38,237,Father,أب
38,238,Father,أب
38,239,Father,أب
38,240,Father,أب
